epoch,lr,train_loss,train_ratio,train_count_l1,val_mae,val_rmse,val_ratio
1,1e-05,305.3598434448242,0.3337980445474386,1084.0592582702636,1188.9734909057618,1385.7458311659284,0.1420351814478636
2,3.2500000000000004e-05,278.9220203399658,0.45976416356861594,1015.2822685241699,1016.9822357177734,1203.431549501648,0.2799080416560173
3,5.5e-05,219.41216068267823,0.7457976967096329,818.6572814941406,620.3674438476562,809.224151664246,0.6718958765268326
4,7.75e-05,177.87962646484374,1.006750725209713,698.3317199707031,404.0086303710938,568.2308495573536,0.9393517643213272
5,0.0001,159.45111961364745,1.0683171272277832,667.1967178344727,341.3723937988281,508.29470615065554,1.0098777502775191
6,5e-05,154.20893669128418,1.1201119631528855,668.3752716064453,291.01084594726564,469.70294484788275,1.0395818173885345
7,4.9901370202883365e-05,147.7452326774597,1.1819200232625007,650.7461082458497,319.0318542480469,484.4944076294069,1.064815840125084
8,4.960627492066643e-05,144.67243194580078,1.165570431947708,642.5282806396484,360.7606231689453,478.40722215999597,1.1133368134498596
9,4.9117090087048414e-05,134.72262153625488,1.023282951116562,598.1896560668945,352.7107421875,492.3240019791892,1.0694601505994796
10,4.843775433067357e-05,133.88867416381837,1.0982002526521684,597.2296691894531,308.18837890625,497.4601168064736,1.0102563172578811
11,4.757373726360928e-05,140.54814949035645,1.099281969666481,630.3142219543457,295.0924072265625,509.3467831918457,0.9796537667512893
12,4.653199544324573e-05,145.22195100784302,1.263257485628128,654.4711227416992,297.5548858642578,515.4018659799923,0.9700244456529618
13,4.532091636218622e-05,125.59905796051025,1.0326995328068733,557.7057006835937,296.4788879394531,514.1113025186384,0.9675420045852661
14,4.3950250917088476e-05,121.41435623168945,1.0487416967749597,538.6147567749024,310.86289367675784,514.521445905624,0.9610011607408524
15,4.2431034900178194e-05,128.9557725906372,1.2029776498675346,576.3994125366211,337.46094818115233,537.8479836322848,0.9471202671527863
16,4.077550014553898e-05,133.3405960083008,1.1928623005747796,597.5042495727539,394.49529724121095,568.115950335953,0.9822874277830124
17,3.899697604557652e-05,141.42769546508788,1.3162528917193412,636.575707244873,427.4634613037109,577.8415865754432,1.0327430814504623
18,3.7109782230588476e-05,128.0915033340454,1.1688538908958435,571.8865280151367,438.82032165527346,580.1828559496486,1.0466508537530899
19,3.512911327552114e-05,126.47916774749756,1.0562265768647194,565.8316989898682,414.1464141845703,573.5603142069743,1.0238824844360352
20,3.307091636218622e-05,126.28543090820312,1.05933738052845,564.3048385620117,413.8659973144531,575.7436315822835,1.0433450281620025
21,3.095176288192971e-05,112.70999889373779,0.9988149657845498,498.76206283569337,439.90882568359376,547.9384696331389,1.0291759341955184
22,2.878871501253257e-05,107.1400203704834,0.9910454958677292,471.8148536682129,408.1757568359375,529.8055871319687,0.9969755321741104
23,2.6599188343587627e-05,118.6638801574707,1.0442302435636521,529.0859237670899,393.72296752929685,512.3462530912475,1.0068418949842453
24,2.4400811656412396e-05,117.86782064437867,1.0498433277010917,524.4634162902832,360.4314239501953,500.0366962974247,0.9633575797080993
25,2.221128498746745e-05,118.94457397460937,1.0599199637770653,530.0982795715332,345.02532653808595,486.4553395111078,0.954826357960701
26,2.0048237118070305e-05,116.26145477294922,1.0246303349733352,516.4877683639527,363.9187805175781,491.8944459158403,0.9554603636264801
27,1.7929083637813794e-05,115.71449708938599,1.0336353853344917,515.0975860595703,371.8675994873047,507.10362026853363,0.879426845908165
28,1.587088672447888e-05,110.90992937088012,0.9771619349718094,491.0643852233887,356.5184722900391,478.00319623955903,0.9303941339254379
29,1.3890217769411535e-05,108.73947954177856,1.1058285698294639,480.21229095458983,353.50938415527344,479.52058593347624,0.9265307545661926
30,1.2003023954423492e-05,112.11388502120971,1.0097109511494637,497.2670417785645,349.67409057617186,478.2614324851361,0.9254068821668625
31,1.0224499854461032e-05,119.46404571533203,1.1116741314530372,532.3660074234009,342.3608032226563,471.606628386918,0.9757180690765381
32,8.56896509982182e-06,109.66003170013428,1.0271019011735916,484.3417163848877,345.5603973388672,474.4068355383054,0.9730127692222595
33,7.049749082911534e-06,123.98868627548218,1.1319136828184129,554.5567678451538,338.8358917236328,473.93465385845093,1.0015845865011215
34,5.67908363781379e-06,110.43575820922851,1.055725958943367,487.6790153503418,335.41064453125,474.1799728019366,0.99562386572361
35,4.4680045567542806e-06,117.90526895523071,1.1101984620094298,525.1886161804199,335.71905822753905,473.66396414307724,0.9846761882305145
36,3.426262736390734e-06,104.7100378036499,0.999582140147686,460.62204933166504,330.9148239135742,471.40071537965366,0.9937369585037231
37,2.5622456693264386e-06,108.05259728431702,0.9896272793412209,475.8237117767334,326.55772857666017,468.72547855783085,1.0003398090600968
38,1.8829099129515955e-06,115.28364629745484,1.0651477500796318,511.8065719604492,332.1357482910156,473.4774794478735,1.0583819687366485
39,1.3937250793335731e-06,126.41479029655457,1.1124098688364028,567.9430366516114,317.69856414794924,463.15894450428345,1.0139499604701996
40,1.0986297971166427e-06,104.0912667274475,0.9654649794101715,456.87581329345704,319.50513916015626,464.0813541749406,1.0384675920009614
